Serial,FireYear,IncidentNumber,FiscalYear,FireArea,District,Unit,FireName,StatisticalCategory,PreparedBy,Landmark,Equipment,NumberPersonnel,PreparedDate,ModifiedBy,ModifiedDate,Twn,Rng,Sec,Subdiv,Longitude,Latitude,ProtectionAgency,FireOriginFederalLands,LandClass,FireThreatened,Minimum,Dual,County,LandownerType,OriginalSurcharge,SurchargeInvolved,SenateBill360Lot,SenateBill360Certified,DiscoveredBy,DiscoveredByName,CausedBy,GeneralCause,SpecificCause,CauseComments,LeadInvestigator,Degree_certain,GeneralRestriction,IndustrialRestriction,BurnIndex,WeatherStationID,RegulatedUseZone,Involve_op,Notif_year,Notif_dist,Notif_number,IgnitionTime,DiscoveryTime,ReportTime,InitialAttackTime,ControlTime,WalkInDelay,FemaFire,IntitialAttackBy,InitialAttackType,Flame_length,InitialAttackFireSizeAcres,InitialAttackBehavior,GeneralFuelModels,Topography,Aspect,Slope,Elevation,SizeClass,FinalFireSizeAcres,StateProtectedAcres,ESRI_OID,CauseType,x,y
109927,2018,18-781-070-18,2018,,78,781,Pope Road               ,1,Brandy Simmons          ,13.8 Miles NW of Veneta       ,,,1/11/2018 12:00:00 AM,BSIMMONS,2/7/2018 8:34:00 AM,16S   ,7W    ,3 ,SWSW,-123.529,44.2025,1,1,6,1,0,0,20,30,0,0,0,,6,Phil Hunter             ,7,3,370,Tree Fell on powerline causing the line to hit the ground,Kyle Tripp,,0,0,,352547 Village Creek    ,WT1,1,,,,1/11/2018 1:35:00 PM,1/11/2018 1:35:00 PM,1/11/2018 1:35:00 PM,1/11/2018 1:45:00 PM,1/11/2018 1:45:00 PM,0,0,2,3,,0.01,1,2,0,0,0,0,1,0.01,0.01,109927,3,518361.589566931,908597.542979002
109933,2018,18-974-044-18,2018,,97,974,Pace                    ,1,Cinda Fratzke           ,,,,2/12/2018 12:00:00 AM,cfratzke,3/20/2018 1:28:00 PM,2S    ,44E   ,35,NWSW,-117.289,45.34,1,1,1,2,0,0,32,13,1,0,0,,8,                        ,2,6,669,,Matt Howard,,0,9,,351518 Eden             ,NE2,2,2016,974,7213,2/10/2018 6:30:00 AM,2/10/2018 10:30:00 AM,2/10/2018 11:00:00 AM,2/10/2018 11:15:00 AM,2/10/2018 1:00:00 PM,0,0,8,1,,0.1,2,3,0,0,0,0,1,0.25,0.25,109933,1,2137788.42749344,1324740.87270342
109934,2018,18-974-045-18,2018,,97,974,Harley Road             ,1,Cinda Fratzke           ,,,,2/12/2018 12:00:00 AM,cfratzke,3/20/2018 11:43:00 AM,1S    ,43E   ,16,SWNW,-117.454,45.4792,1,1,1,2,0,0,32,12,0,0,0,,8,                        ,4,6,615,,Matt Howard,,0,9,,351518 Eden             ,NE2,1,,,,2/10/2018 12:00:00 PM,2/10/2018 12:30:00 PM,2/10/2018 12:54:00 PM,2/10/2018 1:05:00 PM,2/10/2018 3:00:00 PM,0,0,8,0,,0.01,3,2,0,0,0,0,3,15,15,109934,3,2093509.46423885,1373844.75032808
109935,2018,18-582-057-18,2018,,58,582,Lookout Mainline Pile   ,1,Dawn Sleight            ,4.1 miles N of Lyons          ,,,2/13/2018 12:00:00 AM,MolallaDispatch,6/6/2018 9:30:00 AM,8S    ,2E    ,32,SENW,-122.59,44.8294,1,1,1,1,0,0,24,11,0,0,2,,4,                        ,9,4,403,,Trent Tegen,,0,0,,352025 Jordan           ,CM1,1,,,,2/12/2018 12:00:00 PM,2/13/2018 8:00:00 AM,2/13/2018 8:00:00 AM,2/13/2018 10:45:00 AM,2/13/2018 11:15:00 AM,0,0,1,3,,0.01,1,12,0,0,0,0,1,0.01,0.01,109935,3,770248.277559057,1129351.10629921
109936,2018,18-722-121-18,2018,,72,722,Lost Creek              ,1,,10 W Winston                  ,,,2/15/2018 12:00:00 AM,krobison,3/13/2018 3:15:00 PM,27S   ,9W    ,25,NWNE,-123.709,43.1981,1,2,1,1,0,0,6,50,0,0,0,,9,                        ,13,3,351,,"White, Michael",,0,0,NA ,353044 Burnt Mountain   ,CS2,1,,,,2/13/2018 2:20:00 PM,2/13/2018 2:20:00 PM,2/13/2018 2:40:00 PM,2/13/2018 3:45:00 PM,2/13/2018 3:45:00 PM,0,0,2,0,,0.01,1,8,1,1,1,1,1,0.01,0.01,109936,3,456898.62631233,544608.508202106
109952,2018,18-981-149-18,2018,,98,981,Dairy 149               ,1,K Starman               ,1 Mile NE of Dairy            ,,,4/2/2018 12:00:00 AM,msanspach,5/14/2018 9:35:00 AM,38S   ,11.5E ,27,NWNE,-121.514,42.2494,1,1,2,2,0,0,18,13,0,0,0,,6,Sharon Boyd             ,5,6,601,,"Anspach, Matt",,0,9,,353328 Gerber           ,KF1,1,,,,3/30/2018 2:57:00 PM,3/30/2018 2:57:00 PM,3/30/2018 2:57:00 PM,3/30/2018 3:26:00 PM,3/30/2018 7:00:00 PM,0,0,2,3,,0.1,2,5,0,0,0,0,2,0.76,0.06,109952,3,1037699.35695538,183778.246062994
109953,2018,18-712-716-18,2018,,71,712,McMullen Creek          ,1,"Von Essen, Kyndra       ",7.95 Miles NE of CJ           ,,,4/2/2018 12:00:00 AM,kdvonessen,4/10/2018 2:08:00 PM,38S   ,7W    ,20,NENW,-123.556,42.2552,1,1,1,1,0,0,17,30,0,0,2,,5,                        ,9,4,404,,Derreck Johnson,,0,0,,353115 Iv Airport       ,SW3,1,,,,4/1/2018 3:55:00 PM,4/1/2018 4:00:00 PM,4/1/2018 4:00:00 PM,4/2/2018 10:45:00 AM,4/5/2018 12:00:00 PM,0,0,1,3,,0.01,1,7,1,1,1,1,1,0.01,0.01,109953,3,484875.698490813,199598.114829391
109955,2018,18-781-071-18,2018,,78,781,South Line Portage Rd   ,1,Brandy Simmons          ,3.68 Miles East of Florence   ,,,3/29/2018 12:00:00 AM,BSIMMONS,4/13/2018 1:37:00 PM,18S   ,11W   ,20,NENE,-124.029,43.9972,1,1,1,1,0,0,20,11,0,0,0,,3,,2,3,339,Hot Saw,Kyle Tripp,,0,0,,352547 Village Creek    ,SL2,2,2018,781,2230,3/29/2018 7:21:00 AM,3/29/2018 7:21:00 AM,3/29/2018 7:51:00 AM,3/29/2018 7:51:00 AM,3/29/2018 12:00:00 PM,0,1,3,3,,0.01,2,8,0,0,0,0,1,0.01,0.01,109955,1,384158.739829391,839076.489501312
109956,2018,18-711-442-18,2018,,71,711,Ball Rd 2575            ,1,K.House                 ,2.47 NE Eagle Point           ,,,4/3/2018 12:00:00 AM,cjheberlein,4/9/2018 10:08:00 AM,35S   ,1W    ,26,NENE,-122.78,42.504,1,1,10,2,0,0,15,10,0,0,0,,6,Michelle Fraizer        ,8,6,601,No scratch line constructed around burn pile.,chris Heberlein,,0,0,31 ,353228                  ,SW1,1,,,,4/3/2018 2:00:00 PM,4/3/2018 2:51:00 PM,4/3/2018 2:51:00 PM,4/3/2018 2:53:00 PM,4/3/2018 3:12:00 PM,0,0,2,3,,2,2,1,1,1,1,1,2,2.62,0.1,109956,3,697446.024934381,283433.586614177
109957,2018,18-981-150-18,2018,,98,981,Williamson 107          ,1,K Starman               ,Williamson River              ,,,4/3/2018 12:00:00 AM,msanspach,5/14/2018 8:46:00 AM,35S   ,7E    ,16,NESE,-121.878,42.5344,1,1,2,2,0,1,18,13,0,0,0,,6,Jim Mark                ,5,6,604,,"Anspach, Matt",,0,9,,353310 Chiliquin        ,KF1,1,,,,2/15/2018 12:00:00 PM,4/3/2018 5:43:00 PM,4/3/2018 5:43:00 PM,4/3/2018 5:56:00 PM,4/3/2018 7:50:00 PM,0,0,2,1,,0.1,2,1,0,0,0,0,2,3,3,109957,3,940862.222440943,289094.340223104
